metier;sexe;formation;usage_vehicule;type_vehicule;est_rouge;points_perdus;age_vehicule;type_conduite;date_demande;etat_dossier;formule;intervalle_revenus;presence_enfants;presence_enfant_conduite_accompagnée;Index
sérigraphe;F;<High School;Private;Minivan;no;1;1;Highly Urban/ Urban;08/04/2022 07:47;complet;dev_express;(0, 20k€);Oui;Oui;166
technicien réalisateur réalisatrice radio;F;Masters;Private;Sports Car;no;0;17;Highly Urban/ Urban;31/05/2022 15:46;complet;dev_integral;(>60k€, 80k€);Oui;Non;167
webmestre;F;z_High School;Commercial;Pickup;yes;0;4;Highly Urban/ Urban;16/05/2022 17:40;complet;dev_integral;(>40k€, 60k€);Oui;Non;168
chargé hygiène sécurité environnement (HSE);F;Masters;Commercial;Panel Truck;no;1;;Highly Urban/ Urban;22/04/2022 13:14;complet;dev_integral;(>100k€, 150k€);Non;Non;169
pilote de ligne automatisée (chimie - agroalimentaire - industrie pharmaceutique);F;z_High School;Commercial;z_SUV;no;2;11;Highly Urban/ Urban;30/05/2022 08:43;complet;dev_integral;(>20k€, 40k€);Non;Non;170
médiateur familial familiale;M;Bachelors;Private;Pickup;yes;1;11;Highly Urban/ Urban;01/02/2022 00:03;complet;dev_express;(>60k€, 80k€);Oui;Non;171
chargé de production;F;z_High School;Commercial;Minivan;no;2;1;Highly Urban/ Urban;31/05/2022 16:23;complet;dev_integral;(0, 20k€);Non;Non;172
mécanicien et technicien;M;Bachelors;Commercial;Minivan;no;0;11;z_Highly Rural/ Rural;16/02/2022 07:07;complet;dev_integral;(>80k€, 100k€);Non;Non;173
développeur d'applications mobiles;F;PhD;Private;Minivan;yes;0;20;Highly Urban/ Urban;21/05/2022 22:01;complet;dev_integral;(>60k€, 80k€);Oui;Non;174
statisticien industriel industrielle;M;z_High School;Private;z_SUV;no;2;1;Highly Urban/ Urban;26/04/2022 15:07;complet;dev_express;(0, 20k€);Non;Non;175
administrateur de biens;M;Masters;Commercial;Pickup;no;6;;Highly Urban/ Urban;14/01/2022 19:18;complet;dev_integral;(>100k€, 150k€);Non;Non;176
testeur;F;z_High School;Commercial;Van;no;0;12;Highly Urban/ Urban;16/02/2022 23:39;complet;dev_express;(0, 20k€);Non;Non;177
auteur-compositeur interprète interprète;M;Masters;Private;Sports Car;no;0;16;Highly Urban/ Urban;01/01/2022 22:26;complet;dev_express;(N/A - Missing Value);Non;Non;178
artiste de cirque;M;z_High School;Private;z_SUV;no;0;1;z_Highly Rural/ Rural;14/01/2022 11:21;complet;dev_integral;(0, 20k€);Oui;Non;179
commercial export;F;z_High School;Commercial;Van;yes;0;6;Highly Urban/ Urban;10/05/2022 08:25;complet;dev_premium;(>40k€, 60k€);Oui;Non;180
animateur nature nature;F;Bachelors;Commercial;Pickup;no;1;;Highly Urban/ Urban;02/05/2022 22:21;complet;dev_express;(>60k€, 80k€);Non;Non;181
responsable de site de traitement des déchets;F;z_High School;Commercial;Van;no;1;6;z_Highly Rural/ Rural;10/02/2022 04:16;complet;dev_express;(>20k€, 40k€);Oui;Oui;182
hydrogéologue;M;Bachelors;Commercial;Panel Truck;yes;0;13;z_Highly Rural/ Rural;08/01/2022 11:44;complet;dev_integral;(>150k€);Non;Non;183
éducateur de jeunes enfants;F;PhD;Private;Van;yes;0;10;Highly Urban/ Urban;12/01/2022 23:08;complet;dev_premium;(>100k€, 150k€);Non;Non;184
conducteur de travaux  agricoles;F;z_High School;Private;Pickup;yes;1;1;Highly Urban/ Urban;27/05/2022 23:47;complet;dev_express;(0, 20k€);Non;Non;185
convoyeur de fonds;M;z_High School;Commercial;z_SUV;no;6;5;Highly Urban/ Urban;10/04/2022 22:38;complet;dev_premium;(>40k€, 60k€);Oui;Oui;186
animateur de bassin versant;F;<High School;Private;z_SUV;no;0;1;Highly Urban/ Urban;23/03/2022 18:01;complet;dev_integral;(>20k€, 40k€);Non;Non;187
agriculteur;F;Masters;Private;z_SUV;no;0;9;Highly Urban/ Urban;24/05/2022 20:26;complet;dev_integral;(0, 20k€);Oui;Non;188
chercheur en physique;F;<High School;Private;z_SUV;no;0;1;Highly Urban/ Urban;05/01/2022 12:35;complet;dev_premium;(0, 20k€);Non;Non;189
brodeur;F;Bachelors;Private;Minivan;no;0;11;Highly Urban/ Urban;17/05/2022 21:03;complet;dev_vip;(>80k€, 100k€);Non;Non;190
moniteur-éducateur;M;Masters;Commercial;Van;yes;5;;Highly Urban/ Urban;30/05/2022 12:05;complet;dev_express;(>60k€, 80k€);Non;Non;191
conservateur du patrimoine;M;z_High School;Private;Sports Car;no;3;1;Highly Urban/ Urban;25/01/2022 11:38;complet;dev_premium;(>20k€, 40k€);Non;Non;192
palefrenier;F;Masters;Private;Sports Car;no;0;7;z_Highly Rural/ Rural;30/01/2022 11:59;complet;dev_integral;(>100k€, 150k€);Non;Non;193
peintre en bâtiment;F;z_High School;Commercial;Panel Truck;no;1;1;Highly Urban/ Urban;04/01/2022 16:07;complet;dev_premium;(>40k€, 60k€);Non;Non;194
installateur en télécoms;F;Masters;Private;z_SUV;no;0;15;Highly Urban/ Urban;11/02/2022 19:58;complet;dev_integral;(>150k€);Non;Non;195
maquettiste;F;Bachelors;Private;Sports Car;no;3;7;Highly Urban/ Urban;07/04/2022 02:19;complet;dev_premium;(>40k€, 60k€);Oui;Non;196
conseiller en fusions-acquisitions;F;PhD;Private;Minivan;no;4;17;Highly Urban/ Urban;09/02/2022 23:54;complet;dev_express;(>40k€, 60k€);Oui;Non;197
responsable de projets culturels;M;Bachelors;Commercial;Panel Truck;no;2;13;Highly Urban/ Urban;27/04/2022 04:09;complet;dev_express;(>100k€, 150k€);Non;Non;198
chirurgien-dentiste;F;<High School;Private;z_SUV;no;0;4;Highly Urban/ Urban;25/05/2022 06:02;complet;dev_integral;(>20k€, 40k€);Oui;Non;199
horloger;F;z_High School;Commercial;Minivan;no;0;;z_Highly Rural/ Rural;10/02/2022 21:22;complet;dev_express;(>20k€, 40k€);Non;Non;200
rudologue;M;z_High School;Private;Sports Car;yes;9;8;Highly Urban/ Urban;14/03/2022 03:24;complet;dev_express;(>40k€, 60k€);Non;Non;201
conducteur de machine onduleuse;M;z_High School;Commercial;Pickup;yes;4;7;Highly Urban/ Urban;11/05/2022 10:53;complet;dev_integral;(>60k€, 80k€);Non;Non;202
toiletteur d'animaux;M;z_High School;Commercial;Minivan;yes;0;1;Highly Urban/ Urban;09/04/2022 06:44;complet;dev_premium;(>40k€, 60k€);Oui;Oui;203
ingénieur essais;F;Bachelors;Commercial;z_SUV;no;2;14;z_Highly Rural/ Rural;14/04/2022 10:57;complet;dev_premium;(>40k€, 60k€);Non;Non;204
officier de la Marine nationale;M;z_High School;Private;Sports Car;no;3;7;Highly Urban/ Urban;18/04/2022 10:41;complet;dev_express;(>20k€, 40k€);Oui;Non;205
contrôleur technique automobile;M;z_High School;Commercial;Minivan;yes;0;1;Highly Urban/ Urban;23/03/2022 00:19;complet;dev_express;(>40k€, 60k€);Non;Non;206
technicien plasturgiste;M;Bachelors;Commercial;Minivan;yes;6;;Highly Urban/ Urban;09/05/2022 19:49;complet;dev_integral;(>60k€, 80k€);Non;Non;207
vendeur-conseil en matériel agricole;M;Bachelors;Private;Minivan;no;0;12;z_Highly Rural/ Rural;04/02/2022 03:00;complet;dev_express;(>20k€, 40k€);Non;Non;208
vendeur-magasinier en fournitures automobiles;M;z_High School;Commercial;Panel Truck;yes;1;8;Highly Urban/ Urban;19/04/2022 01:02;complet;dev_premium;(>20k€, 40k€);Oui;Oui;209
architecte des systèmes d'information;F;<High School;Private;z_SUV;no;0;5;z_Highly Rural/ Rural;03/04/2022 22:13;complet;dev_integral;(>20k€, 40k€);Oui;Non;210
data manager;F;Bachelors;Private;Minivan;no;1;8;z_Highly Rural/ Rural;18/01/2022 05:21;complet;dev_integral;(>40k€, 60k€);Oui;Oui;211
greffier;F;PhD;Commercial;Panel Truck;yes;1;16;Highly Urban/ Urban;23/03/2022 16:17;complet;dev_express;(>100k€, 150k€);Non;Non;212
staffeur-ornemaniste;F;PhD;Private;z_SUV;yes;1;;Highly Urban/ Urban;02/05/2022 16:43;complet;dev_integral;(>40k€, 60k€);Non;Non;213
maquettiste;F;Bachelors;Commercial;Van;no;1;5;Highly Urban/ Urban;19/01/2022 00:38;complet;dev_express;(>40k€, 60k€);Non;Non;214
animateur d'activités physiques et sportives pour tous;M;z_High School;Commercial;Van;no;5;;Highly Urban/ Urban;15/02/2022 23:41;complet;dev_integral;(>40k€, 60k€);Oui;Non;215
artiste de cirque;M;Masters;Private;z_SUV;no;0;13;Highly Urban/ Urban;03/01/2022 06:55;complet;dev_premium;(>100k€, 150k€);Non;Non;216
géotechnicien;F;z_High School;Private;Pickup;yes;2;6;Highly Urban/ Urban;27/03/2022 02:40;complet;dev_express;(>20k€, 40k€);Oui;Non;217
pilote d'hélicoptère;F;Masters;Private;z_SUV;no;8;19;Highly Urban/ Urban;02/04/2022 14:20;complet;dev_premium;(>60k€, 80k€);Non;Non;218
électromécanicien;M;<High School;Private;Sports Car;no;0;1;Highly Urban/ Urban;30/04/2022 22:44;complet;dev_premium;(>20k€, 40k€);Non;Non;219
souffleur de verre;M;z_High School;Private;Minivan;no;1;1;z_Highly Rural/ Rural;07/04/2022 11:09;complet;dev_integral;(>20k€, 40k€);Oui;Oui;220
assistant de service social;M;PhD;Private;Sports Car;no;0;16;Highly Urban/ Urban;22/01/2022 06:45;complet;dev_integral;(>100k€, 150k€);Oui;Non;221
inspecteur de banque;M;PhD;Commercial;Pickup;no;0;18;z_Highly Rural/ Rural;07/05/2022 03:05;complet;dev_integral;(N/A - Missing Value);Oui;Oui;222
garde (chasse, pêche, littoral, rivière, parcs nationaux);F;Bachelors;Private;z_SUV;no;4;3;Highly Urban/ Urban;07/01/2022 07:53;complet;dev_premium;(>60k€, 80k€);Non;Non;223
chargé de recherche en recrutement;F;Bachelors;Commercial;z_SUV;no;5;5;Highly Urban/ Urban;05/01/2022 18:21;complet;dev_integral;(>100k€, 150k€);Oui;Non;224
conducteur opérateur opératrice de scierie;F;Bachelors;Commercial;Minivan;no;0;1;Highly Urban/ Urban;13/05/2022 15:01;complet;dev_integral;(>20k€, 40k€);Non;Non;225
chef des ventes;M;Bachelors;Private;Minivan;no;4;10;Highly Urban/ Urban;11/05/2022 05:29;complet;dev_express;(>100k€, 150k€);Non;Non;226
conducteur de bus ou d'autocar;F;Bachelors;Private;z_SUV;no;3;9;Highly Urban/ Urban;29/03/2022 05:23;complet;dev_integral;(>20k€, 40k€);Non;Non;227
anatomiste;M;z_High School;Private;z_SUV;no;0;3;z_Highly Rural/ Rural;12/02/2022 09:30;complet;dev_premium;(>20k€, 40k€);Oui;Non;228
conseiller en assurances;F;<High School;Private;Minivan;yes;0;1;Highly Urban/ Urban;18/03/2022 03:20;complet;dev_premium;(0, 20k€);Non;Non;229
ingénieur concepteur conceptrice en mécanique;F;<High School;Private;Pickup;yes;5;1;Highly Urban/ Urban;25/01/2022 12:09;complet;dev_express;(>20k€, 40k€);Non;Non;230
statisticien;F;z_High School;Private;z_SUV;no;3;;Highly Urban/ Urban;11/05/2022 03:18;complet;dev_express;(>40k€, 60k€);Non;Non;231
ingénieur gaz;M;Bachelors;Private;Minivan;yes;0;7;Highly Urban/ Urban;04/05/2022 06:00;complet;dev_express;(>60k€, 80k€);Oui;Oui;232
traducteur-interprète;F;PhD;Private;Minivan;yes;3;;Highly Urban/ Urban;22/01/2022 22:28;complet;dev_express;(>60k€, 80k€);Non;Non;233
ingénieur papetier papetière;F;Bachelors;Commercial;z_SUV;no;2;10;Highly Urban/ Urban;06/01/2022 14:38;complet;dev_express;(>60k€, 80k€);Non;Non;234
attaché commercial commerciale;F;<High School;Private;z_SUV;no;2;7;z_Highly Rural/ Rural;11/04/2022 02:23;complet;dev_integral;(0, 20k€);Oui;Non;235
ingénieur brevets;M;Masters;Private;Pickup;no;0;16;Highly Urban/ Urban;22/03/2022 21:40;complet;dev_integral;(>40k€, 60k€);Non;Non;236
audioprothésiste;F;PhD;Commercial;Panel Truck;no;0;15;Highly Urban/ Urban;31/03/2022 19:09;complet;dev_premium;(>150k€);Non;Non;237
canalisateur;F;Masters;Private;z_SUV;no;0;15;Highly Urban/ Urban;09/03/2022 15:11;complet;dev_integral;(>150k€);Non;Non;238
vendeur-conseil en matériel agricole;M;<High School;Private;z_SUV;no;5;1;Highly Urban/ Urban;07/05/2022 11:43;complet;dev_integral;(>20k€, 40k€);Oui;Non;239
opérateur sur machine à commande numérique;F;PhD;Private;Minivan;yes;3;10;Highly Urban/ Urban;24/02/2022 02:03;complet;dev_integral;(>80k€, 100k€);Non;Non;240
ingénieur chimiste;F;Masters;Private;Minivan;no;0;15;Highly Urban/ Urban;24/05/2022 09:47;complet;dev_express;(>60k€, 80k€);Non;Non;241
reporter-photographe;M;z_High School;Commercial;z_SUV;no;0;7;Highly Urban/ Urban;25/02/2022 23:45;complet;dev_express;(>80k€, 100k€);Non;Non;242
ingénieur en fonderie;F;Bachelors;Commercial;Pickup;yes;0;11;Highly Urban/ Urban;29/03/2022 07:38;complet;dev_express;(0, 20k€);Non;Non;243
coffreur-boiseur;F;Masters;Private;Sports Car;no;6;12;Highly Urban/ Urban;10/05/2022 14:59;complet;dev_express;(>60k€, 80k€);Oui;Oui;244
ingénieur radioprotection;M;z_High School;Private;z_SUV;no;3;5;Highly Urban/ Urban;14/05/2022 19:19;complet;dev_integral;(>40k€, 60k€);Oui;Non;245
directeur de restaurant;F;Bachelors;Private;Van;yes;3;12;Highly Urban/ Urban;19/01/2022 01:48;complet;dev_integral;(N/A - Missing Value);Non;Non;246
consultant en informatique décisionnelle;M;z_High School;Commercial;Pickup;no;0;7;Highly Urban/ Urban;27/05/2022 14:41;complet;dev_premium;(>60k€, 80k€);Oui;Oui;247
gestionnaire de contrats informatiques;M;<High School;Commercial;Van;yes;0;1;z_Highly Rural/ Rural;13/01/2022 11:51;complet;dev_integral;(0, 20k€);Oui;Non;248
technicien de maintenance en informatique;M;z_High School;Private;Pickup;yes;0;10;Highly Urban/ Urban;08/04/2022 01:47;complet;dev_integral;(>20k€, 40k€);Non;Non;249
responsable assurance qualité;F;Masters;Private;Minivan;no;2;15;Highly Urban/ Urban;26/04/2022 15:04;complet;dev_integral;(>80k€, 100k€);Non;Non;250
art-thérapeute;M;Masters;Private;z_SUV;no;1;20;Highly Urban/ Urban;30/01/2022 17:15;complet;dev_integral;(>100k€, 150k€);Non;Non;251
vendeur en magasin;F;z_High School;Commercial;z_SUV;no;5;12;z_Highly Rural/ Rural;18/05/2022 05:21;complet;dev_express;(>40k€, 60k€);Non;Non;252
technicien d'exploitation de l'eau;M;Bachelors;Commercial;Minivan;no;3;6;Highly Urban/ Urban;27/01/2022 08:09;complet;dev_premium;(>40k€, 60k€);Non;Non;253
correcteur;F;Masters;Private;Van;yes;0;18;Highly Urban/ Urban;13/02/2022 22:32;complet;dev_express;(>100k€, 150k€);Non;Non;254
officier marinier marinière;M;Masters;Private;Minivan;no;0;8;Highly Urban/ Urban;26/04/2022 23:23;complet;dev_integral;(>20k€, 40k€);Non;Non;255
chef d'exploitation d'usine d'incinération;M;Bachelors;Commercial;Van;yes;2;;z_Highly Rural/ Rural;26/05/2022 00:20;complet;dev_premium;(>80k€, 100k€);Oui;Non;256
libraire;M;Masters;Private;Minivan;no;0;16;Highly Urban/ Urban;06/02/2022 07:26;complet;dev_integral;(N/A - Missing Value);Oui;Non;257
ingénieur chimiste en développement analytique;F;<High School;Private;Minivan;no;0;5;Highly Urban/ Urban;05/02/2022 06:43;complet;dev_express;(>20k€, 40k€);Oui;Oui;258
professeur en activité physique adaptée;F;z_High School;Private;Minivan;yes;0;1;z_Highly Rural/ Rural;26/03/2022 06:02;complet;dev_premium;(0, 20k€);Non;Non;259
responsable approvisionnement;F;Bachelors;Commercial;Panel Truck;no;4;10;Highly Urban/ Urban;14/02/2022 17:36;complet;dev_express;(>40k€, 60k€);Non;Non;260
zoologiste;F;Bachelors;Commercial;Panel Truck;no;5;8;Highly Urban/ Urban;17/04/2022 16:52;complet;dev_integral;(>60k€, 80k€);Non;Non;261
manager de risques;F;Bachelors;Commercial;Van;yes;1;9;Highly Urban/ Urban;12/02/2022 04:17;complet;dev_express;(>80k€, 100k€);Oui;Non;262
technicien électrotechnicien électrotechnicienne;M;Masters;Commercial;Pickup;no;0;17;Highly Urban/ Urban;20/03/2022 21:08;complet;dev_integral;(>150k€);Non;Non;263
ingénieur hydroécologue;M;Bachelors;Commercial;Van;no;7;10;Highly Urban/ Urban;24/03/2022 00:32;complet;dev_express;(>80k€, 100k€);Non;Non;264
chef de publicité;M;z_High School;Private;z_SUV;no;4;;Highly Urban/ Urban;28/05/2022 16:57;complet;dev_integral;(0, 20k€);Non;Non;265
chirurgien;M;Bachelors;Private;z_SUV;no;1;7;Highly Urban/ Urban;27/04/2022 16:49;complet;dev_integral;(>60k€, 80k€);Non;Non;266
gouvernant;M;Bachelors;Private;z_SUV;no;1;1;z_Highly Rural/ Rural;28/01/2022 09:25;complet;dev_premium;(>80k€, 100k€);Non;Non;267
éducateur technique spécialisé technique spécialisée;M;PhD;Commercial;Panel Truck;no;4;11;Highly Urban/ Urban;21/03/2022 10:05;complet;dev_express;(>150k€);Non;Non;268
éducateur sportif sportive des activités aquatiques et de la natation;F;Masters;Private;z_SUV;no;0;12;Highly Urban/ Urban;07/01/2022 09:45;complet;dev_integral;(>60k€, 80k€);Non;Non;269
modiste;F;Masters;Private;Minivan;no;4;13;Highly Urban/ Urban;15/05/2022 03:11;complet;dev_premium;(>100k€, 150k€);Non;Non;270
responsable de laboratoire de contrôle en biologie;F;Bachelors;Commercial;Sports Car;no;4;12;Highly Urban/ Urban;09/02/2022 14:04;complet;dev_integral;(>40k€, 60k€);Non;Non;271
hydrogéologue;M;PhD;Commercial;Pickup;no;3;13;Highly Urban/ Urban;04/02/2022 16:41;complet;dev_express;(>150k€);Non;Non;272
antiquaire;F;z_High School;Commercial;Van;no;3;8;Highly Urban/ Urban;30/04/2022 22:43;complet;dev_integral;(>80k€, 100k€);Non;Non;273
animateur de bassin versant;M;z_High School;Private;Van;no;0;1;Highly Urban/ Urban;06/01/2022 19:41;complet;dev_express;(>60k€, 80k€);Non;Non;274
actuaire;M;Bachelors;Private;z_SUV;no;2;1;Highly Urban/ Urban;12/04/2022 12:00;complet;dev_express;(>40k€, 60k€);Oui;Non;275
technicien chimiste;F;PhD;Commercial;Panel Truck;no;5;10;Highly Urban/ Urban;25/04/2022 16:57;complet;dev_express;(>80k€, 100k€);Non;Non;276
horticulteur;M;Bachelors;Commercial;Pickup;no;4;8;Highly Urban/ Urban;01/01/2022 07:42;complet;dev_integral;(>80k€, 100k€);Oui;Oui;277
régleur;M;<High School;Commercial;Pickup;yes;5;1;Highly Urban/ Urban;16/03/2022 12:46;complet;dev_express;(>20k€, 40k€);Non;Non;278
monteur-câbleur;M;Masters;Commercial;Panel Truck;no;3;20;Highly Urban/ Urban;20/03/2022 11:43;complet;dev_integral;(>100k€, 150k€);Non;Non;279
technicien démonstrateur démonstratrice en matériel agricole;M;Bachelors;Private;z_SUV;no;3;2;Highly Urban/ Urban;20/01/2022 09:01;complet;dev_integral;(0, 20k€);Non;Non;280
artiste de cirque;M;Masters;Private;Minivan;yes;0;12;Highly Urban/ Urban;10/05/2022 05:21;complet;dev_integral;(>60k€, 80k€);Non;Non;281
médecin généraliste;M;PhD;Private;Sports Car;no;5;11;Highly Urban/ Urban;10/01/2022 01:26;complet;dev_premium;(0, 20k€);Non;Non;282
assistant en ressources humaines;F;z_High School;Private;Sports Car;no;0;12;z_Highly Rural/ Rural;28/03/2022 12:26;complet;dev_integral;(>60k€, 80k€);Non;Non;283
microtechnicien;F;Bachelors;Private;Minivan;yes;4;11;Highly Urban/ Urban;13/04/2022 14:44;complet;dev_integral;(>20k€, 40k€);Non;Non;284
brodeur;F;Bachelors;Private;z_SUV;no;0;1;Highly Urban/ Urban;21/02/2022 23:21;complet;dev_integral;(>60k€, 80k€);Non;Non;285
moniteur-éducateur;F;<High School;Private;Pickup;yes;2;1;Highly Urban/ Urban;15/01/2022 01:35;complet;dev_integral;(>20k€, 40k€);Non;Non;286
programmiste;F;z_High School;Commercial;Pickup;yes;0;10;z_Highly Rural/ Rural;25/01/2022 15:18;complet;dev_integral;(>20k€, 40k€);Non;Non;287
secrétaire médical;M;Bachelors;Private;Minivan;no;2;7;Highly Urban/ Urban;18/01/2022 08:22;complet;dev_integral;(N/A - Missing Value);Non;Non;288
orthoprothésiste;F;Masters;Commercial;Panel Truck;yes;0;17;Highly Urban/ Urban;15/02/2022 23:56;complet;dev_express;(>150k€);Non;Non;289
aide-chimiste;M;Bachelors;Private;Pickup;no;1;14;Highly Urban/ Urban;27/01/2022 03:55;complet;dev_premium;(>60k€, 80k€);Oui;Non;290
formateur d'adultes;M;z_High School;Private;Pickup;no;4;9;Highly Urban/ Urban;18/03/2022 07:40;complet;dev_express;(>40k€, 60k€);Non;Non;291
juriste en droit social;M;z_High School;Private;Pickup;no;0;8;Highly Urban/ Urban;22/03/2022 07:46;complet;dev_integral;(>40k€, 60k€);Non;Non;292
patron pêcheur;M;Masters;Private;Minivan;no;3;;Highly Urban/ Urban;07/03/2022 03:55;complet;dev_integral;(>20k€, 40k€);Non;Non;293
ingénieur hydrogéomorphologue;M;Bachelors;Commercial;Van;yes;0;4;Highly Urban/ Urban;18/05/2022 22:10;complet;dev_integral;(>60k€, 80k€);Non;Non;294
auditeur externe;F;Masters;Private;z_SUV;no;1;1;Highly Urban/ Urban;01/05/2022 17:43;complet;dev_express;(>20k€, 40k€);Oui;Non;295
ingénieur maintenance aéronautique;F;Bachelors;Private;z_SUV;no;0;11;Highly Urban/ Urban;26/05/2022 22:40;complet;dev_integral;(>80k€, 100k€);Oui;Non;296
hydraulicien;F;z_High School;Private;z_SUV;no;6;;Highly Urban/ Urban;23/04/2022 11:29;complet;dev_premium;(>40k€, 60k€);Non;Non;297
auxiliaire de puériculture;F;Bachelors;Private;Minivan;yes;1;11;Highly Urban/ Urban;27/02/2022 02:58;complet;dev_express;(>100k€, 150k€);Oui;Oui;298
conducteur routier routière;F;Masters;Private;Pickup;yes;2;10;Highly Urban/ Urban;16/04/2022 10:28;complet;dev_integral;(>60k€, 80k€);Non;Non;299
chef de produit marketing;F;Masters;Commercial;Panel Truck;no;1;21;Highly Urban/ Urban;21/03/2022 00:34;complet;dev_express;(>40k€, 60k€);Oui;Non;300
conseiller d'élevage;M;z_High School;Commercial;Sports Car;no;0;1;z_Highly Rural/ Rural;10/05/2022 09:58;complet;dev_integral;(>20k€, 40k€);Non;Non;301
juriste droit de l'environnement;F;z_High School;Private;Pickup;no;0;10;z_Highly Rural/ Rural;11/04/2022 21:52;complet;dev_integral;(>80k€, 100k€);Oui;Non;302
géomètre-topographe;F;z_High School;Private;z_SUV;no;0;1;z_Highly Rural/ Rural;13/05/2022 22:59;complet;dev_express;(0, 20k€);Oui;Non;303
horticulteur;F;<High School;Private;Minivan;yes;3;1;Highly Urban/ Urban;26/05/2022 20:49;complet;dev_integral;(0, 20k€);Oui;Oui;304
conducteur opérateur opératrice de scierie;F;Bachelors;Private;Pickup;no;0;10;z_Highly Rural/ Rural;03/03/2022 14:18;complet;dev_express;(>40k€, 60k€);Non;Non;305
conducteur routier routière;F;PhD;Private;Sports Car;no;0;12;Highly Urban/ Urban;26/01/2022 19:37;complet;dev_express;(>150k€);Non;Non;306
agent de constatation des douanes;M;Masters;Commercial;Pickup;yes;4;20;Highly Urban/ Urban;22/01/2022 01:15;complet;dev_express;(>100k€, 150k€);Non;Non;307
animateur de radio et de télévision;F;Bachelors;Private;z_SUV;no;0;3;Highly Urban/ Urban;25/05/2022 07:24;complet;dev_express;(0, 20k€);Non;Non;308
cogniticien;F;Bachelors;Private;Minivan;no;0;11;Highly Urban/ Urban;03/02/2022 17:35;complet;dev_premium;(>60k€, 80k€);Non;Non;309
consultant en informatique décisionnelle;F;PhD;Commercial;Panel Truck;yes;5;19;Highly Urban/ Urban;08/01/2022 02:38;complet;dev_express;(>100k€, 150k€);Non;Non;310
bibliothécaire;F;Bachelors;Commercial;Minivan;no;0;11;z_Highly Rural/ Rural;02/05/2022 00:05;complet;dev_express;(0, 20k€);Non;Non;311
responsable du back office;M;z_High School;Commercial;Sports Car;yes;0;7;Highly Urban/ Urban;18/05/2022 16:18;complet;dev_express;(>40k€, 60k€);Non;Non;312
ingénieur technico-commercial technico-commerciale;M;z_High School;Private;Minivan;no;0;8;z_Highly Rural/ Rural;25/05/2022 08:12;complet;dev_premium;(>20k€, 40k€);Non;Non;313
concepteur-rédacteur;M;Bachelors;Private;Sports Car;no;2;1;Highly Urban/ Urban;04/05/2022 10:23;complet;dev_integral;(>40k€, 60k€);Oui;Oui;314
architecte;F;Masters;Private;Pickup;no;2;12;Highly Urban/ Urban;16/04/2022 07:28;complet;dev_integral;(>100k€, 150k€);Oui;Non;315
élagueur;M;<High School;Private;Minivan;no;0;1;Highly Urban/ Urban;17/02/2022 11:37;complet;dev_integral;(0, 20k€);Non;Non;316
administrateur réseaux;M;Masters;Private;Minivan;yes;0;11;Highly Urban/ Urban;25/04/2022 08:56;complet;dev_premium;(>100k€, 150k€);Non;Non;317
ingénieur textile;F;<High School;Commercial;Panel Truck;no;0;7;Highly Urban/ Urban;24/03/2022 18:04;complet;dev_integral;(>20k€, 40k€);Non;Non;318
ingénieur nucléaire;F;<High School;Private;z_SUV;no;0;5;z_Highly Rural/ Rural;24/01/2022 04:40;complet;dev_express;(0, 20k€);Oui;Non;319
responsable du back office;M;z_High School;Private;Pickup;yes;0;9;z_Highly Rural/ Rural;03/03/2022 06:41;complet;dev_integral;(N/A - Missing Value);Oui;Oui;320
tapissier d'ameublement;F;PhD;Private;Van;yes;0;14;Highly Urban/ Urban;29/01/2022 15:32;complet;dev_integral;(>100k€, 150k€);Non;Non;321
accompagnateur en moyenne montagne;F;<High School;Private;z_SUV;no;0;4;z_Highly Rural/ Rural;29/04/2022 12:31;complet;dev_integral;(0, 20k€);Oui;Oui;322
concepteur de niveaux de jeu web;F;z_High School;Private;Sports Car;no;0;6;Highly Urban/ Urban;11/01/2022 18:54;complet;dev_integral;(>60k€, 80k€);Non;Non;323
chef de produit touristique;F;z_High School;Commercial;Pickup;no;7;1;z_Highly Rural/ Rural;11/05/2022 07:38;complet;dev_express;(0, 20k€);Oui;Non;324
animateur de radio et de télévision;F;z_High School;Private;z_SUV;no;6;1;Highly Urban/ Urban;07/05/2022 22:16;complet;dev_express;(>20k€, 40k€);Oui;Non;325
géomaticien;M;z_High School;Commercial;Minivan;no;3;1;Highly Urban/ Urban;08/02/2022 23:25;complet;dev_express;(>80k€, 100k€);Non;Non;326
microtechnicien;F;Masters;Private;Minivan;yes;2;19;Highly Urban/ Urban;01/02/2022 06:20;complet;dev_integral;(>80k€, 100k€);Non;Non;327
professeur en activité physique adaptée;F;Bachelors;Commercial;z_SUV;no;3;12;Highly Urban/ Urban;10/03/2022 16:31;complet;dev_integral;(>20k€, 40k€);Non;Non;328
technicien de la circulation ferroviaire SNCF;F;z_High School;Private;Minivan;no;1;1;Highly Urban/ Urban;08/03/2022 15:24;complet;dev_integral;(>40k€, 60k€);Non;Non;329
formateur en informatique;F;z_High School;Private;z_SUV;no;1;9;z_Highly Rural/ Rural;27/05/2022 17:51;complet;dev_premium;(>20k€, 40k€);Non;Non;330
technicien qualité;F;Bachelors;Private;Pickup;yes;2;9;Highly Urban/ Urban;07/01/2022 08:08;complet;dev_vip;(>60k€, 80k€);Non;Non;331
